PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Zaza Pachulia,DAL,32,6-11,275,None,Georgia,2003,2,42,76,650,718,128,0.1,12.40%,23.70%,16.30%,55.00%,10.10%
Zach Randolph,MEM,34,6-9,260,Michigan State,USA,2001,1,19,68,"1,040.00",529,142,-1.1,8.80%,18.70%,24.70%,51.90%,12.50%
Zach LaVine,MIN,21,6-5,189,UCLA,USA,2014,1,13,82,"1,150.00",228,251,-6.2,1.20%,8.90%,22.80%,54.80%,18.70%
Xavier Munford,MEM,24,6-3,180,Rhode Island,USA,2014,,,14,80,31,22,-5.1,1.10%,12.90%,16.80%,48.10%,13.60%
Willie Reed,BKN,26,6-10,220,St. Louis,USA,2011,0,0,39,182.00,122,10,-7.2,11.30%,17.40%,17.50%,57.90%,3.90%
Willie Cauley-Stein,SAC,22,7-0,240,Kentucky,USA,2015,1,6,66,463,352,37,-1.2,9.40%,15.00%,13.10%,58.80%,3.80%
Will Barton,DEN,25,6-6,175,Memphis,USA,2012,2,40,82,"1,178.00",476,203,-3.1,2.40%,17.70%,22.60%,53.50%,14.70%
Wesley Matthews,DAL,29,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,78,977,238,151,2,1.00%,8.00%,17.10%,53.20%,8.80%
Wesley Johnson,LAC,28,6-7,215,Syracuse,USA,2010,1,4,80,549,248,49,2.7,2.20%,12.10%,15.30%,51.30%,4.50%
Wayne Ellington,BKN,28,6-4,200,North Carolina,USA,2009,1,28,76,586,174,83,-10,1.20%,9.60%,17.20%,49.80%,8.20%
Vince Carter,MEM,39,6-6,220,North Carolina,USA,1998,1,5,60,395,146,56,-1.6,2.90%,11.70%,17.70%,52.00%,8.90%
Victor Oladipo,ORL,24,6-4,210,Indiana,USA,2013,1,2,72,"1,153.00",345,282,-0.4,2.00%,12.10%,22.40%,53.40%,18.20%
Udonis Haslem,MIA,36,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,37,59,75,14,-3.1,4.30%,26.00%,13.10%,43.40%,8.00%
Tyus Jones,MIN,20,6-2,195,Duke,USA,2015,1,24,37,156,47,108,-10.7,1.20%,7.30%,15.10%,45.00%,27.80%
Tyson Chandler,PHX,33,7-1,240,None,USA,2001,1,2,66,472,576,64,-11.5,10.30%,25.10%,12.60%,60.60%,6.40%
Tyreke Evans,NOP,26,6-6,220,Memphis,USA,2009,1,4,25,379,129,164,-0.3,2.60%,14.20%,25.40%,53.40%,36.60%
Tyler Zeller,BOS,26,7-0,253,North Carolina,USA,2012,1,17,60,364,178,29,-4.3,8.00%,14.80%,22.50%,53.90%,7.30%
Tyler Johnson,MIA,24,6-4,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,36,314,109,79,0.7,3.40%,9.10%,16.70%,57.90%,15.10%
Tyler Hansbrough,CHA,30,6-9,250,North Carolina,USA,2009,1,13,44,104.00,89.00,8,-4.1,10.80%,14.80%,14.40%,52.20%,3.80%
Tyler Ennis,MIL,21,6-3,194,Syracuse,Canada,2014,1,18,46,206,75,95,-5.8,2.00%,9.70%,16.80%,51.00%,22.50%
Ty Lawson,IND,28,5-11,195,North Carolina,USA,2009,1,18,66,373,120,237,-5.7,1.70%,6.40%,14.50%,47.60%,25.10%
Troy Daniels,CHA,24,6-4,205,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,43,242,57,21,-5.1,1.40%,10.30%,19.50%,63.40%,8.30%
Tristan Thompson,CLE,25,6-9,238,Texas-Austin,Canada,2011,1,4,82,643,738,62,8.7,11.60%,20.90%,11.40%,61.10%,4.00%
Trey Lyles,UTA,20,6-10,234,Kentucky,Canada,2015,1,12,80,488,299,59,-1.7,4.30%,18.00%,17.80%,51.70%,7.20%
Trey Burke,UTA,23,6-1,191,Michigan,USA,2013,1,9,64,679,112,148,-0.4,1.30%,7.00%,24.20%,50.70%,20.10%
Trevor Booker,UTA,28,6-8,228,Clemson,USA,2010,1,23,79,463,452,83,3.5,10.20%,17.80%,14.10%,53.30%,8.30%
Trevor Ariza,HOU,31,6-8,215,UCLA,USA,2004,2,43,81,"1,025.00",366,188,0.3,2.30%,10.60%,15.60%,55.10%,10.00%
Tony Wroten,NYK,23,6-6,205,Washington,USA,2012,1,25,8,67,21,20,-23.1,1.30%,13.00%,32.00%,41.20%,27.40%
Tony Snell,CHI,24,6-7,200,New Mexico,USA,2013,1,20,64,338,199,63,4.1,1.40%,11.70%,13.40%,47.80%,7.00%
Tony Parker,SAS,34,6-2,185,None,France,2001,1,28,72,857.00,176,379,10.7,0.90%,8.00%,21.10%,54.60%,29.40%
Tony Allen,MEM,34,6-4,213,Oklahoma State,USA,2004,1,25,64,535,296,70,-1.4,6.30%,12.80%,16.70%,50.50%,6.80%
Toney Douglas,NOP,30,6-2,195,Florida State,USA,2009,1,29,61,531,143,157,-5.1,1.90%,9.90%,18.90%,54.30%,18.80%
Tobias Harris,DET,23,6-9,235,Tennessee,USA,2011,1,19,76,"1,116.00",510,169,0.5,3.80%,16.60%,19.20%,56.00%,10.60%
Timofey Mozgov,CLE,29,7-1,275,None,Russia,Undrafted,Undrafted,Undrafted,76,475,337,33,0.6,8.70%,16.80%,16.00%,59.30%,3.90%
Tim Hardaway Jr.,ATL,24,6-6,205,Michigan,USA,2013,1,24,51,326,86,51,6.6,0.80%,8.40%,15.90%,56.30%,8.90%
Tim Frazier,NOP,25,6-1,170,Penn State,USA,Undrafted,Undrafted,Undrafted,51,261,110,162,-1.8,3.50%,11.10%,19.20%,49.90%,33.90%
Tim Duncan,SAS,40,6-11,250,Wake Forest,US Virgin Isl...,1997,1,1,61,522.00,447,163,13.6,7.90%,21.20%,17.10%,52.30%,15.30%
Tibor Pleiss,UTA,26,7-3,256,None,Germany,2010,2,31,12,24,15,2,-10.4,8.70%,11.80%,18.60%,46.40%,4.30%
