player_id,player_name,player_positions,jersey,position_number,position
201949,James Johnson,F,3,3,PF
2449,Luis Scola,F,4,3,PF
201960,DeMarre Carroll,F,5,3,SF
202709,Cory Joseph,G,6,1,PG
200768,Kyle Lowry,G,7,1,PG
202687,Bismack Biyombo,C-F,8,4,C
201942,DeMar DeRozan,G,10,1,SG
202685,Jonas Valanciunas,C,17,5,C
203998,Bruno Caboclo,F,20,3,SF
203082,Terrence Ross,F-G,31,2,SG
202335,Patrick Patterson,F,54,3,PF
1626153,Delon Wright,G,55,1,PG
203512,Lucas Nogueira,C,92,5,C
101107,Marvin Williams,F,2,3,PF
203087,Jeremy Lamb,G,3,1,SG
201587,Nicolas Batum,G-F,5,2,SF
202391,Jeremy Lin,G,7,1,PG
1626151,Aaron Harrison,G,9,1,SG
202689,Kemba Walker,G,15,1,PG
203798,PJ Hairston,F-G,19,2,SF
203148,Brian Roberts,G,22,1,PG
203584,Troy Daniels,G,30,1,SG
203469,Cody Zeller,C-F,40,4,C
1626163,Frank Kaminsky,C,44,5,C
201946,Tyler Hansbrough,F,50,3,PF
201150,Spencer Hawes,F-C,0,4,C
2547,Chris Bosh,F,1,3,C
2548,Dwyane Wade,G,3,1,SG
2405,Amar'e Stoudemire,F-C,5,4,PF
201609,Goran Dragic,G,7,1,PG
204020,Tyler Johnson,G,8,1,PG
2736,Luol Deng,F,9,3,SF
2365,Chris Andersen,F-C,11,4,C
101123,Gerald Green,F,14,3,SG
2757,Beno Udrih,G,19,1,PG
1626159,Justise Winslow,F,20,3,PF
202355,Hassan Whiteside,C,21,5,C
2617,Udonis Haslem,F,40,3,PF
101109,Raymond Felton,G,2,1,PG
101111,Charlie Villanueva,F,3,3,PF
200826,J.J. Barea,G,5,1,PG
203939,Dwight Powell,F-C,7,4,C
101114,Deron Williams,G,8,1,PG
201580,JaVale McGee,C,11,5,C
203098,John Jenkins,G,12,1,SG
202379,Jeremy Evans,F,21,3,SF
202083,Wesley Matthews,G-F,23,2,SG
202718,Chandler Parsons,F,25,3,SF
2585,Zaza Pachulia,C,27,5,C
2734,Devin Harris,G,34,1,PG
1717,Dirk Nowitzki,F,41,3,PF
201166,Aaron Brooks,G,0,1,PG
203926,Doug McDermott,F,3,3,SF
1626171,Bobby Portis,F,5,3,PF
2550,Kirk Hinrich,G,12,1,PG
2200,Pau Gasol,C-F,16,4,C
203503,Tony Snell,F,20,3,SG
202710,Jimmy Butler,G-F,21,2,SF
201959,Taj Gibson,F,22,3,PF
203946,Cameron Bairstow,F-C,41,4,C
202703,Nikola Mirotic,F,44,3,PF
202734,E'Twaun Moore,G,55,1,SG
201565,Derrick Rose,G,1,1,PG
201149,Joakim Noah,C,13,5,C
202338,Kevin Seraphin,F-C,1,4,C
204038,Langston Galloway,G,2,1,SG
101181,Jose Calderon,G,3,1,PG
201167,Arron Afflalo,G,4,1,SG
204001,Kristaps Porzingis,F-C,6,4,PF
2546,Carmelo Anthony,F,7,3,SF
201577,Robin Lopez,C,8,5,C
203124,Kyle O'Quinn,F-C,9,4,C
1626170,Jerian Grant,G,13,1,PG
2756,Sasha Vujacic,G,18,1,SG
202682,Derrick Williams,F,23,3,PF
202498,Lance Thomas,F,42,3,PF
2400,Drew Gooden,F,90,3,PF
2743,Kris Humphries,F,43,3,PF
101162,Marcin Gortat,C,13,5,C
201162,Jared Dudley,F,1,3,PF
